2015-10-16 10:04:04, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >g4KiPTdL9I55a6zKhG/x29etMzcS4JzCUPsN3svRbzIQ+31y3YOpKTb0dY9Rn/MUfDevWgQkNb7P/yYIQ2kZ11nSGwxa5kRrXFwMiYEtVHLUF3uogYdVDu43Z8KV/0PYMa6EY8KnQGnXiJPtrF3vkdcI+VIrs1s9qhPahsWjkiI= 
2015-10-16 10:04:04, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-16 10:04:14, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-16 10:04:14, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&bizType=000000&certId=40220995861346480087409489142384722381&channelType=07&encoding=utf-8&merId=777290058119902&orderId=954681622541&signMethod=01&txnSubType=00&txnTime=20151015171607&txnType=00&version=5.0.0 
2015-10-16 10:04:14, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >33e6424c9970e60048643b450f0cba1c44fdfdc7 
2015-10-16 10:04:14, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >g4KiPTdL9I55a6zKhG/x29etMzcS4JzCUPsN3svRbzIQ+31y3YOpKTb0dY9Rn/MUfDevWgQkNb7P/yYIQ2kZ11nSGwxa5kRrXFwMiYEtVHLUF3uogYdVDu43Z8KV/0PYMa6EY8KnQGnXiJPtrF3vkdcI+VIrs1s9qhPahsWjkiI= 
2015-10-16 10:04:14, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-16 10:07:13, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/GatewayPay.php ], Line[30]------ ============处理前台请求开始=============== 
2015-10-16 10:07:13, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-16 10:07:13, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/Pay/unionPayFrontReceive&merId=777290058119902&orderId=501983212651&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151016100713&txnType=01&version=5.0.0 
2015-10-16 10:07:13, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >3886c930459cafa27ec6bcdccc44f2a687f0d404 
2015-10-16 10:07:13, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >RVeBRFXADG7CYu5e+bBIDfzwUMTb1FdfP8fcMJ/bPDaA4VWsuKKjONzn2wqdSz1Bt1ReNkzW7+coxAqYHe9KdnA+TYOjJdvE6uryEW3HW8Gn3Vp/5TtHa2iUn47ZimMx9E5XkOexmI/AeZCd0oUQdR1lRL01ldZMAcalkKiI/Io= 
2015-10-16 10:07:13, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
